                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    128,                 2.6657,                 2.9991,                 2.8777,                0.50156,                0.03125,                0.00056,                0.00022,                 4.0881,                 398.78,                 7.5247,              0.0068568,              0.0068568,              0.0068568
                    129,                 2.7437,                 2.8872,                 2.8285,                0.50156,                0.03125,                0.00056,                0.00022,                 4.0881,                 398.78,                 7.5247,               0.006832,               0.006832,               0.006832
                    130,                 2.3457,                 2.5566,                 2.6183,                0.00063,                 0.1875,                 0.0005,                0.00014,                  4.311,                    inf,                 10.395,              0.0068073,              0.0068073,              0.0068073
                    131,                 2.5418,                 2.5212,                 2.8186,                0.00063,                 0.1875,                 0.0005,                0.00014,                  4.311,                    inf,                 10.395,              0.0067825,              0.0067825,              0.0067825
                    132,                  2.325,                 2.5818,                 2.5626,                0.50276,                0.09375,                0.00116,                0.00052,                 4.1722,                    inf,                 9.2465,              0.0067577,              0.0067577,              0.0067577
                    133,                 2.8539,                 3.2972,                 2.8343,                0.50276,                0.09375,                0.00116,                0.00052,                 4.1722,                    inf,                 9.2465,               0.006733,               0.006733,               0.006733
                    134,                 2.5091,                   2.83,                  2.613,                0.51974,                0.09375,                 0.0111,                0.00513,                 4.1726,                 322.94,                 7.4867,              0.0067082,              0.0067082,              0.0067082
                    135,                 2.6086,                 3.1323,                 2.7732,                0.51974,                0.09375,                 0.0111,                0.00513,                 4.1726,                 322.94,                 7.4867,              0.0066835,              0.0066835,              0.0066835
                    136,                 2.5042,                 2.8339,                 2.8016,                0.58495,                0.06408,                0.06415,                0.01359,                  4.145,                 16.915,                 7.5645,              0.0066587,              0.0066587,              0.0066587
                    137,                 2.5071,                 2.6744,                 2.6174,                0.58495,                0.06408,                0.06415,                0.01359,                  4.145,                 16.915,                 7.5645,               0.006634,               0.006634,               0.006634
                    138,                 2.3232,                 2.5004,                 2.5981,                0.50708,                0.09375,                0.01109,                0.00393,                 3.9261,                 82.894,                 7.5421,              0.0066092,              0.0066092,              0.0066092
                    139,                 2.5639,                 2.6283,                 2.6909,                0.50708,                0.09375,                0.01109,                0.00393,                 3.9261,                 82.894,                 7.5421,              0.0065845,              0.0065845,              0.0065845
                    140,                 2.4101,                 2.8413,                 2.6215,                0.00756,                0.15625,                0.01452,                0.00441,                  3.895,                 117.86,                 8.3417,              0.0065598,              0.0065598,              0.0065598
                    141,                 2.4763,                 3.2877,                 2.8812,                0.00756,                0.15625,                0.01452,                0.00441,                  3.895,                 117.86,                 8.3417,               0.006535,               0.006535,               0.006535
                    142,                 2.3523,                  2.522,                 2.5222,                0.51239,                0.15625,                0.05082,                0.01221,                 4.0053,                 72.678,                 6.5093,              0.0065102,              0.0065102,              0.0065102
                    143,                 2.6542,                 3.0064,                 2.7869,                0.51239,                0.15625,                0.05082,                0.01221,                 4.0053,                 72.678,                 6.5093,              0.0064855,              0.0064855,              0.0064855
                    144,                 2.4439,                 2.7119,                 2.7403,                0.12776,                0.10783,                0.03856,                0.00802,                 3.9477,                 11.462,                 5.7738,              0.0064608,              0.0064608,              0.0064608
                    145,                 2.2786,                 2.4542,                 2.6754,                0.12776,                0.10783,                0.03856,                0.00802,                 3.9477,                 11.462,                 5.7738,               0.006436,               0.006436,               0.006436
                    146,                 2.3036,                 2.6707,                 2.6339,                0.07244,                 0.0625,                0.01987,                0.00457,                 3.8769,                 13.605,                 5.5843,              0.0064112,              0.0064112,              0.0064112
                    147,                 2.4022,                 2.6471,                 2.5995,                0.07244,                 0.0625,                0.01987,                0.00457,                 3.8769,                 13.605,                 5.5843,              0.0063865,              0.0063865,              0.0063865
                    148,                 2.2151,                 2.4861,                 2.5807,                0.07475,                0.09375,                0.03267,                0.00822,                 3.6775,                  4.354,                 5.0096,              0.0063618,              0.0063618,              0.0063618
                    149,                 2.3302,                 2.3382,                 2.5463,                0.07475,                0.09375,                0.03267,                0.00822,                 3.6775,                  4.354,                 5.0096,               0.006337,               0.006337,               0.006337
                    150,                 2.6817,                 2.9634,                 2.7708,                0.16866,                0.09375,                0.07532,                0.01964,                 3.5941,                 3.6887,                 4.4428,              0.0063122,              0.0063122,              0.0063122
                    151,                 2.3046,                 2.8323,                 2.4517,                0.16866,                0.09375,                0.07532,                0.01964,                 3.5941,                 3.6887,                 4.4428,              0.0062875,              0.0062875,              0.0062875
                    152,                 2.5226,                 2.6487,                 2.7722,                0.23525,                0.09375,                0.07328,                0.02249,                 3.6817,                 5.1952,                 4.5686,              0.0062628,              0.0062628,              0.0062628
                    153,                 2.2877,                 2.3647,                 2.7105,                0.23525,                0.09375,                0.07328,                0.02249,                 3.6817,                 5.1952,                 4.5686,               0.006238,               0.006238,               0.006238
                    154,                 2.3488,                 2.2453,                 2.4827,                0.67495,                0.15625,                0.13915,                0.04854,                 3.6792,                  11.88,                 4.3162,              0.0062132,              0.0062132,              0.0062132
                    155,                  2.134,                 2.3105,                 2.4777,                0.67495,                0.15625,                0.13915,                0.04854,                 3.6792,                  11.88,                 4.3162,              0.0061885,              0.0061885,              0.0061885
                    156,                 2.2751,                 2.3177,                 2.3929,                0.72439,                  0.125,                0.09775,                0.02991,                 3.7594,                 7.7965,                 4.1563,              0.0061637,              0.0061637,              0.0061637
                    157,                 2.1125,                 2.4134,                  2.456,                0.72439,                  0.125,                0.09775,                0.02991,                 3.7594,                 7.7965,                 4.1563,               0.006139,               0.006139,               0.006139
